name,one_line,nickname,type,current_address,vizrec,current_use,current_photo_link,historic_address,historic_photo_url,start_date,start_date_confidence,end_date,end_date_confidence,history_summary,research_url,research_notes,research_sources,personal_history_text,personal_history_subject,personal_history_recorder,followup_email,lat,long,verification_indicator,geopolygon,parcel_number,current_owner,last_sold_date,unique_id,timestamp
Fredosaurus Rex Friday XIII,,,Public Art,"4802 Fifth Avenue, Pgh PA 15213",0,It is now just a patch of garden,"I don't know of any, but could take one pretty easily if needed.",None,,"2003, as part of Dino-Mite Days (http://www.carnegiemnh.org/online/dinomite/howell.htm)",exact,"2014; I don't know when it was taken down, but it was moved to its new site in May: http://www.post-gazette.com/ae/art-architecture/2014/05/03/It-s-a-beautiful-day-in-the-new-neighborhood-Rogers-dinosaur-moves-to-South-Side/stories/201405030036",,http://www.roadsideamerica.com/tip/14394,,,,I passed by the statue regularly as a student and then a staff member of Carnegie Mellon University.,,,,40.44672,-79.944702,,,,,,"42,935.60",07/19/2017 14:24:00
Green Gables Restaurant,,Green Gables,Business,"Hoffman Blvd at Kennywood Blvd, Duquesne PA, 15110",0,McDonalds near Kennywood was built on the site.,"https://www.google.com/maps/@40.3847047,-79.8630563,3a,75y,129.86h,85.74t/data=!3m7!1e1!3m5!1sTqKx0L62rtbEZG6NzLH2Tg!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DTqKx0L62rtbEZG6NzLH2Tg%26output%3Dthumbnail%26cb_client%3Dsearch.TACTILE.gps%26thumb%3D2%26w%3D392%26h%3D106%26yaw%3D65.14631%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=en",No,,1941?,,11/19/1977 as per the closing announcement at https://patriciajangus.com/duquesne-croatians/ghost-of-green-gables/,100%,https://patriciajangus.com/duquesne-croatians/ghost-of-green-gables/,,,,Lived near it and walked past it many times going to Kennywood. It was where the McDonalds is near Kennywood.,,,,40.384909,-79.862709,,,,,,"42,954.43",08/07/2017 10:19:12
Isaly's Deli & Bakery,,Isaly's,Business,"327 Main St., Irwin, PA 15642",0.8,"Yes, it was re-opened as ""Main Street Deli"" around 2009, then closed again.  It reopened as a guitar store called ""Main Street Music"" around 2012 and is still extant.",,No,,Sometime in the 1950's,circa,Around 2005,,Probably ? look for books by Brian Butko,,Check with Brian Butko or Rick Sebak.,,"I grew up in Irwin and would stop there as frequently as I could.  Their maple rolls were exquisite.  It closed around 2005.
I have a picture of it from around 2009.  Note: this is my picture, which is Creative Commons licensed.
https://www.flickr.com/photos/12584147@N04/3972575730/in/dateposted-public/",,,,40.332223,-79.710462,,,,,,"42,935.59",07/19/2017 14:09:36
Jenkin's Arcade,,,Building,"Fifth Avenue Place, Pittsburgh, PA 15222",0,Fifth Avenue Place office building,http://fifthavenueplacepa.com/fap2/index.shtml,,,1911,,1984,,http://www.brooklineconnection.com/history/Facts/Jenkins.html,,,,,,,,40.441974,-80.003402,,,,,,"42,948.87",08/01/2017 20:52:48
Laverne's Diner,,,Business,"113 S Main St Pittsburgh, PA 15220",0,Parking lot,,,,,,,,http://www.post-gazette.com/life/munch/2015/06/18/Munch-goes-to-Johnny-s-Diner/stories/201506180026,,,,,,,,40.443163,-80.028849,,,,,,"42,949.50",08/02/2017 12:00:00
Main Hotel,,,Building,"400 East Main St. Carnegie, Pa",0,I believe it's a drugstore,,It did not,,,,2011 or so,,NOt sure,,,,I had been there before when I lived in Carnegie.,,,,40.410041,-80.082134,,,,,,"42,948.36",08/01/2017 8:38:24
Mayview State Hospital,"Originally a house for the poor, orphans and the mentally ill, Mayview State Hospital grew in size through the middle of the century until it's decline in the 1990s and eventually closure in 2008.",Mayview,Building,"1601 Mayview Rd, Bridgeville, Pennsylvania 15017",0,New housing development,"https://www.google.com/maps/@40.3325264,-80.1131561,3a,75y,89.63h,92.17t/data=!3m6!1e1!3m4!1sUyyQkSuTLKR1uwla90bU0g!2e0!7i13312!8i6656",,https://i2.wp.com/abandonedonline.net/wp-content/uploads/2016/03/20110219-_DSC3993.jpg?fit=1024%2C681,1893,0.5,12/29/2008,1,http://abandonedonline.net/locations/hospitals/mayview-state-hospital/,http://abandonedonline.net/locations/hospitals/mayview-state-hospital/,https://www.bizjournals.com/pittsburgh/news/2017/02/23/development-at-former-mayview-site-greenlit.html,http://abandonedonline.net/locations/hospitals/mayview-state-hospital/,no,,,,40.318039,-80.119908,,,,Charter Homes & Neighborhoods,12/29/2008,"42,948.59",08/01/2017 14:09:36
Panther Hollow Inn,,PHI,Business,4611 Forbes Ave,0.8,"Yes, now a Chipolte ",,no,,,,https://thetartan.org/2013/4/29/news/phibar,,,,,,Too many purple hooters...,,,,40.44468,-79.94811,,,,,,"42,942.60",07/26/2017 14:24:00
Red Bull Inn,Historic chain of restaurants in the Pittsburgh region,"Jamie's, Dormont Junction Inn, Cafe J",Business,"3220 West Liberty Ave. Dormont, PA 15216",0,Infiniti dealership,,no,,,,1987,30,"One of many Red Bull Inn's in the Greater Pittsburgh region, a chain of 20+ restaurants managed by the late Louis Fleck. Fleck was a German immigrant to the area, but he decided to open his first Red Bull Inn in Carnegie in 1964, modelled off of an English pub. The chain quickly grew until it became insolvent after an 1987 lawsuit amidst the general decline of mill towns in the region. The family divested all restaurant holdings as a result",http://www.post-gazette.com/news/obituaries/2004/02/02/Obituary-Louis-S-Fleck-Tavern-owner-who-started-Red-Bull-Inn-chain/stories/200402020120,,,I've eaten there,,,,40.390239,-80.041021,,,,,,"42,948.37",08/01/2017 8:52:48
Red Bull Inn Steakhouse,"Steakhouse in Robinson opened by the family of the former owners of the Red Bull Inn
",,Business,"5205 Campbell's Run Road, Robinson, PA 15205",0.5,DXL Destination XL,http://photos.county.allegheny.pa.us/iasworld/iDoc2/Services/GetPhoto.ashx?parid=0335P00304000000&jur=002&Rank=1&size=350x263,no,,2007,90,,,,,,,I've eaten there before,,,,40.442836,-80.15912,,,0335-P-00304-0000-00,CAMPBELLS RUN REALTY CORPORATION,3/8/2010,"42,948.36",08/01/2017 8:38:24
St. Leo Church,St. Leo Church was erected as the home of a German Catholic parish in Pittsburgh's North Side in the late 1880's. ,St. Leo's,Building,"3113 Brighton Road, Pittsburgh 15212",0,New structure housing Providence Connections family support services organization,"https://encrypted.google.com/search?biw=1280&bih=894&tbm=isch&sa=1&q=st+leo%27s+church+pittsburgh&oq=st+leo%27s+church+pittsburgh&gs_l=psy-ab.3...18934.21644.0.21898.15.12.3.0.0.0.99.700.10.10.0....0...1.1.64.psy-ab..2.0.0.WP-ihgwD0bY#imgrc=JBcjqOvAHOPxnM:,http://diopitt.org/parishes/saint-leo-north-side",no,http://dioceseofpgh.org/parishes/saint-leo-north-side,1888,50,March 2001- demolished,80,"St. Leo's Parish was established by German Catholics in the Pittsburgh's North Side in the 1880s. They erected a small church as the Brighton Road site in 1888. They outgrew this small structure and built a new church starting in 1906 and completed around 1917. This second church became the iconic structure remembered as St. Leo Church.  The architect is unknown but may have been John T. Comes, who designed many Catholic churches in the area.  St. Leo Church was notable for its twin square bell towers.
 ",http://dioceseofpgh.org/parishes/saint-leo-north-side; http://old.post-gazette.com/magazine/20010328lowry5.asp,"Diocese of Pittsburgh, Sisters of Divine Providence; Note that the original church built in 1888 was demolished in 1947; a new structure was built on the same lot in 1906 (completed around 1917)--this is what was demolished in 2001. ","Catholic Diocese of Pittsburgh, http://dioceseofpgh.org/parishes/saint-leo-north-side ",I worked at Providence Family Support Center-- which currently operates onsite in a former Catholic school (total rehab with addition) -- where the church stood there is a play area for the children and a parking lot. There were often visitors who stopped in to see the center who had gone to St. Leo's Parish and to the Catholic school. ,,,,40.473816,-80.029484,,,,,,"42,943.68",07/27/2017 16:19:12
Stanley Theatre,"This former movie theater and concert hal was known as a famous rock music venue. It was refurbished, and reopened as the Benedum Center for the Performing Arts in 1987.",Benedum Center for the Performing Arts,Business,"237 7th Street, Pittsburgh, PA",0.8,Currently operating as the Benedum Center for the Performing Arts,https://en.wikipedia.org/wiki/Benedum_Center,No,http://dicesare-englerproductions.com/images/16b3a20c6d3ee94cced4f968cdec9521.jpg,"February 27, 1928",1,"September 25, 1987",1,https://en.wikipedia.org/wiki/Benedum_Center,,,"https://en.wikipedia.org/wiki/Benedum_Center, https://sites.google.com/site/pittsburghmusichistory/pittsburgh-music-story/venues/stanley-theater---rock-era, http://dicesare-englerproductions.com/The_Stanley_Theatre.php",,,,,40.443116,-79.999776,,,,,,"42,938.37",07/22/2017 8:52:48
Syria Mosque,Concert hall in Oakland that hosted musical performances and political speeches from 1916-1991,,Building,"4400 Bigelow Boulevard, Pittsburgh, PA  15213",0,Parking lot for the University of Pittsburgh Medical Center,https://goo.gl/EqJth2,Same as current address,"https://en.wikipedia.org/wiki/Syria_Mosque#/media/File:Syria_Mosque,_Oakland_Neighborhood,_Pittsburgh,_PA.jpg",10/26/1916,0.95,8/27/1991,1,"
The Syria Mosque was originally built as the new home of the Pittsburgh Nobles of the Mystic Shrine. Construction began in 1911 and the building was dedicated on October 26, 1916. The 3,700-seat, ornate, faux-Middle Eastern-style building was the center of Pittsburgh's music culture for 75 years, hosting internationally renowed classical, jazz, rock, opera, and dance performers. It was the home of the Pittsburgh Symphony Orchestra, the May Beegle Concert series, the Pittsburgh Opera, and the National Negro Opera Company.
The Syria Mosque also hosted speeches by U.S. presidents and presidential candidates including Harry S. Truman, Ronald Reagan, Richard Nixon, Dwight D. Eisenhower, and John F. Kennedy, British Prime Minister David Lloyd George, and Pittsburgh mayor David L. Lawrence.
The DuMont Television Network (later KDKA-TV) hosted the first network television broadcast from Syria Mosque on January 11, 1949.
The last concert at the Syria Mosque was in May 1991. The building was demolished amid controversy on August 27, 1991. The site now serves as a parking lot for the University of Pittsburgh Medical Center, but the property was purchased by the University of Pittsburgh in 2016.",https://sites.google.com/site/pittsburghmusichistory/pittsburgh-music-story/venues/syria-mosque,"LEW verified location, opening date, demolition date, and URLs","http://dicesare-englerproductions.com/The_Syria_Mosque.php
https://en.wikipedia.org/wiki/Syria_Mosque
http://www.post-gazette.com/local/city/2012/09/23/Two-decades-later-razing-of-Syria-Mosque-still-a-sore-topic/stories/201209230185","I attended some concerts there in the late 1980s & early 1990s, before following Pitt's & UPMC's competing bids to tear it down to build a parking lot...",,,,40.446579,-79.955615,,,,,,"42,935.79",07/19/2017 18:57:36
The King's Court Theater,"Popular theatre for students, especially in the '60s and '70s",King's Court,Business,"3807 Forbes Ave, Pittsburgh, PA 15213",0.8,Noodles and Company/TMobile,,,http://photos.cinematreasures.org/production/photos/23515/1314249016/large.jpg?1314249016,1965,100,,0,"In 1965 George and Ernest Stern of Associated Theatres turned Oakland's police station into a theatre. It was well-frequented theatre during the 60's and 70's, showing many of the major youth hits of the era. Later, it was sold and converted into a cafe.",http://cinematreasures.org/theaters/9639,,,"Yes, used to see midnight movies there in the late 70's, viewed a riot once during a 3 Stooges festival when it sold out, K-9 unit unleashed into the unruly crowd...",,,,40.441945,-79.956442,,,0028-C-00067-0000-00,"SCHWARTZ LINDA B, SCHWARTZ HENRY C, SCHWARTZ NATHAN A, MARY GRACE REMEIKIS LIVING TRUST(1/243 INT), GALLAGHER BRIAN P, GALLAGHER JAMES C, GALLAGHER MARY PATRICIA, GALLAGHER MARGARET W, MARGARET L MCARDLE REVOCABLE TRUST ",6/5/2017,"42,949.51",08/02/2017 12:14:24
Isaly's Warehouse,,,Business,3380 Boulevard of the Allies,0.8,UPMC Aesthetic Plastic Surgery Center,,Not sure,,don't know,,Still there,,Not that I'm aware of,,Talk to the locals :-) This is yet one more Isaly's people give directions by (thank goodness it's still there). I wasn't born & raised here so will need to see your map when it's finished!,,Yes - I used to teach computer classes/store PCs in what used to be the ice cream freezer and loading dock on the main floor,,,,40.435254,-79.958319,,,,,,"42,954.78",08/07/2017 18:43:12
Vintage Store,,,Business,"1009 East Carson Street, Pittsburgh, PA 15203",0.8,It's now Evolver Tattoo shop,Www.evolver-tattoo.com,,,Don't know ,,2015,,No,,Old articles?,,"Yes, I would regularly shop there with friends during college. It was cheap enough to ""treat yourself .""",,,,40.428863,-79.988053,,,,,,"42,940.83",07/24/2017 19:55:12
White Swan Park,,,Other,"https://www.google.com/maps/@40.4686113,-80.1948445,15.54z",0,It's where 376W splits off from Business 376. The park was torn down to make room for the newer section of 376 when the new airport opened.,"https://www.youtube.com/watch?v=2fdxkaMC_8w, https://www.facebook.com/pg/ACEwesternPA/photos/?tab=album&album_id=1077277755634399, http://www.rmusentrymedia.com/opinioneditorial/pittsburgh-history-pittsburghs-lost-amusement-park-white-swan-park/, http://www.post-gazette.com/local/west/2008/05/08/Memories-of-White-Swan-Park/stories/200805080435, https://www.google.com/search?q=white+swan+park&sa=N&biw=971&bih=623&tbm=isch&tbo=u&source=univ&ved=0ahUKEwjtxYOj28fVAhUh0IMKHWqnAZo4ChCwBAgk",,,1955,,1989,,https://en.wikipedia.org/wiki/White_Swan_Park,,,,"Only that I, along with thousands of others, enjoyed this park in the past.",,,,40.4686113,-80.1948445,,,,,,"42,955.38",08/08/2017 9:07:12
Civic Arena,,"Civic Auditorium, Mellon Arena",Building,"66 Mario Lemieux Pl, Pittsburgh, PA 15219",0,Parking lot,Lots of photos--just google :-),,,"September 17, 1961",,"September 26, 2011 ? March 31, 2012",,,https://en.wikipedia.org/wiki/Civic_Arena_(Pittsburgh),,Lots of info available online,,,,,,,,,,,,"42,957.81",08/10/2017 19:26:24
Diamond Market House,,,Building,"222 Fifth Ave, Pittsburgh, PA 15222",0,This is now Market Square,https://newsinteractive.post-gazette.com/thedigs/2013/01/09/oct-9-1960-diamond-market-house-at-the/ https://newsinteractive.post-gazette.com/thedigs/2014/08/13/market-square-pittsburghs-original-gathering-space/september-1946-pittsburghs-diamond-market-house-pittsburgh-press/ ,,,1915,,1961,,,"Book. Downtown Pittsburgh, Stuart P. Boehmig. Carnegie Library (Lawrenceville)",,Book: Downtown Pittsburgh. Stuart P. Boehmig,,,,,,,,,,,,"42,957.86",08/10/2017 20:38:24
Arby's,,,Business,"3417 Forbes Ave. Pittsburgh, PA 15213",0,Under redevelopment,Currently undergoing demolition,,,,,"August, 2017",,,,,,,,,,,,,,,,,"42,961.71",08/14/2017 17:02:24
St. Kieran's School Annex,,,Building,"5705 McCandless Ave.  Pittsburgh, PA  15201",0,It is a private home.,"https://www.google.com/maps/place/5705+McCandless+Ave,+Pittsburgh,+PA+15201/@40.4816852,-79.9420559,3a,75y,339h,90t/data=!3m6!1e1!3m4!1sJfQ3J6MbjGoYT30VNw5yvA!2e0!7i13312!8i6656!4m13!1m7!3m6!1s0x8834f28ad4420f3f:0x5158778831e4f115!2s5705+McCandless+Ave,+Pittsburgh,+PA+15201!3b1!8m2!3d40.4819042!4d-79.9421544!3m4!1s0x8834f28ad4420f3f:0x5158778831e4f115!8m2!3d40.4819042!4d-79.9421544",,,I don't know.,,I don't know,,,,,"The Diocese of Pittsburgh, particularly the schools.","My brother and I attended St. Kieran's School Annexl in the early 60s, which had eight grades, two to a classroom and shared a teacher. It was located in Stanton Heights, while the main St. Kieran's School was in Lawrenceville on the site of St. Kieran's Roman Catholic Church.  The building was bought and demolished. A private home was built on the site.
It occupied the former Sunnyside Elementary School, which moved to a new building in the 50s or 60s.  ",,,,,,,,,,,"42,969.81",08/22/2017 19:26:24
The Log Jammer,"This log-flume ride was a beloved feature of Kennywood Amusement Park from its opening in 1975, to its last season in 2017.",,Business,,1,It just closed a few months ago.,https://www.kpconnection.com/wp-content/uploads/photo-gallery/Jammer/jammer1s.jpg,,,"May 11, 1975",1,9/17/2017,1,,https://www.kennywood.com/plan-a-visit/about-kennywood,,http://triblive.com/local/allegheny/12738495-74/log-jammer-makes-its-final-descent-at-kennywood,,,,,,,,,,,,,
